Country,Capital,Language,President/Leader,Tribes/Ethnic Groups,Religion,Flag,History Page (10s),Fun Facts,Famous People,Currency,Culture,Population,Population vs. Region,Population vs. Continent,Climate
Botswana,Gaborone,"English, Setswana",Mokgweetsi Masisi,"Setswana, Kalanga","Christianity, Badimo",,,,,,,,,,
Eswatini,Executive: Mbabane Legislative: Lobamba,"Swazi, English",Mswati III,Swazi,"Zionisism, Roman Catholicism, Anglicanism, Methodism, Church of Jesus Christ, Jehovah's Witness",,,,,,,,,,
Lesotho,Maseru,"Sesotho, English, Phuthi, Xhosa, Zulu",Head of state: King Letsie III Prime minister: Sam Matekane,Sotho,"Pentecostalism, Lesotho Evangelicalism, Anglicanism, Roman Catholicism",,,,,,,,,,
Namibia,Windhoek,"English, Afrikaans, German, Otjiherero, Khoekhoegowab, Oshiwambo, RuKwangali, Setswana, siLozi, !Kung, Gciriku, Thimbukushu",President: Nangolo Mbumba Prime minister: Saara Kuugongelwa-Amadhila,"Ovambo, Kavangos, Herero, Damara","Christianity, Badimo",,,,,,,,,,
South Africa,Executive: Pretoria Legislative: Cape Town Judicial: Bloemfontein,"Zulu, Xhosa, Afrikaans, English",Cyril Ramaphosa,Black African,Christianity,,,,,,,,,,
